id,en-us,es-es,fr-fr,pt-br,ar,fa-ir,zh-cn,ru-ru,id-id,ur
J4riF2MBR4UFGCthEuBP,"american culture","Cultura de Estados Unidos","Culture américaine","Cultura americana","الثقافة الأميركية","فرهنگ آمریکایی","美国文化","Американская культура","Budaya Amerika","امریکی ثقافت"
K4riF2MBR4UFGCthEuDx,"english learning","aprendizaje del idioma inglés","Anglais langue étrangère","aprendizagem de Inglês","تعلم اللغة الإنجليزية","یادگیری زبان انگلیسی","英语学习","Изучение английского языка","pembelajaran bahasa Inggris","انگریزی سیکھنا"
KIriF2MBR4UFGCthEuCI,"diversity","diversidad","Diversité","diversidade","التنوع","گوناگونی","多样性","Разнообразие","keberagaman","تنوع"
KYriF2MBR4UFGCthEuCt,"employment legislation","legislación laboral","législation du travail","legislação trabalhista","تشريعات العمل","قانون کار","就業立法","трудовое законодательство","undang-undang ketenagakerjaan","روزگار کے قانون سازی"
KoriF2MBR4UFGCthEuDP,"lgbti","LGBTI","LGBTI","LGBT","المثليون ومزدوجو الميل الجنسي ومغايرو الهوية الجنسانية","دگرباشان","LGBTI","ЛГБТИ","LGBTI","ایل جی بی ٹی آئی"
L4riF2MBR4UFGCthE-Bs,"leadership & community action","Liderazgo y acción comunitaria","leadership et action communautaire","liderança e ação comunitária","القيادة والعمل المجتمعي","رهبری و اقدامات اجتماعی","領導力和社區行動","руководство и действия сообщества","kepemimpinan & aksi komunitas","قیادت اور کمیونٹی کی کارروائی"
LIriF2MBR4UFGCthE-AP,"entertainment","entretenimiento","divertissement","entretenimento","وسائل الترفيه","سرگرمی","娛樂","развлекательная программа","hiburan","تفریح"
LYriF2MBR4UFGCthE-Az,"exchange","intercambiar","échange","troca","تبادل","تبادل","交換","обмен","bertukar","تبادلہ"
LoriF2MBR4UFGCthE-BR,"leadership","liderazgo","direction","Liderança","قيادة","رهبری","領導","руководство","kepemimpinan","قیادت"
M4riF2MBR4UFGCthFeAp,"sport event","evento deportivo","événement sportif","evento esportivo","حدث رياضي","رویداد ورزشی","體育賽事","Спортивное событие","acara olahraga","کھیل کی تقریب"
MIriF2MBR4UFGCthE-CJ,"people","gente","gens","pessoas","اشخاص","مردم","人","люди","orang-orang","لوگ"
MYriF2MBR4UFGCthE-Cn,"retirement","Jubilación","retraite","aposentadoria","تقاعد","بازنشستگی","退休","выход на пенсию","pensiun","ریٹائرمنٹ"
MoriF2MBR4UFGCthFeAE,"social learning","aprendizaje social","apprentissage social","aprendizagem social","تعليم اجتماعي","یادگیری اجتماعی","社會學習","социальное обучение","pembelajaran sosial","سماجی سیکھنے"
N4riF2MBR4UFGCthFeC0,"values","valores","valeurs","valores","القيم","ارزش های","值","значения","nilai-nilai","اقدار"
NIriF2MBR4UFGCthFeBG,"study in the u.s.","estudiar en Estados Unidos","Études aux USA","estudar nos EUA","الدراسة في الولايات المتحدة","تحصیل در ایالات متحده","留学美国","Учеба в США","belajar di AS","امریکہ میں تعلیم حاصل کریں"
NYriF2MBR4UFGCthFeB1,"travel to the u.s. ","viajar a Estados Unidos","Voyages aux États-Unis","viajar para os EUA","السفر إلى الولايات المتحدة","سفر به ایالات متحده","赴美旅行","Путешествие в США","bepergian ke AS","امریکہ آئیں"
NoriF2MBR4UFGCthFeCX,"u.s. government","Gobierno de Estados Unidos","Gouvernement américain","Governo dos EUA","الحكومة الأميركية","دولت ایالات متحده","美国政府","Правительство США","Pemerintah AS","امریکی حکومت"
O4riF2MBR4UFGCthFuCE,"anti-corruption","anti corrupcion","anti-corruption","anti-corrupção","مكافحة الفساد","ضد فساد","反腐敗","антикоррупционный","anti korupsi","انسداد فساد"
OYriF2MBR4UFGCthFeDt,"ceremony","ceremonia","la cérémonie","cerimônia","مراسم","مراسم","儀式","церемония","upacara","تقریب"
P4riF2MBR4UFGCthGOAw,"detainees","detenidos","détenus","detidos","المعتقلين","بازداشت شدگان","被拘留者","задержанные","tahanan","قیدی"
PIriF2MBR4UFGCthFuCh,"civic leadership","liderazgo cívico","leadership civique","liderança cívica","القيادة المدنية","رهبری مدنی","公民領導","гражданское лидерство","kepemimpinan sipil","شہری قیادت"
PYriF2MBR4UFGCthFuC7,"civil unrest","disturbios civiles","troubles civils","agitação civil","اضطراب مدني","ناآرامی مدنی","內亂","гражданские беспорядки","kerusuhan sipil","سول بدامنی"
